URL,Tennis
https://www.bbc.com/sport/tennis/47998714,"Defending champion Rafael Nadal suffered a shock 6-4 6-2 defeat by Italian Fabio Fognini in the semi-finals of the Monte Carlo Masters.

The 32-year-old Spaniard, seeking his 12th Monte Carlo title, had won his past 18 matches at the event and lost only four of 75 in his career.

World number 18 Fognini, 31, will face Serb Dusan Lajovic in Sunday's final.

""I played one of my worst matches on clay in 14 years,"" said world number two Nadal.

""It's difficult to find any positives. I deserved to lose.""

World number 48 Lajovic reached his first ATP final with a 7-5 6-1 win over Novak Djokovic's conqueror Daniil Medvedev.

Lajovic, 28, came from 5-1 down to win 10 successive games against the 10th seed and become the lowest ranked Monte Carlo finalist since 2001.

Fognini, who was a set and 4-1 down to Andrey Rublev in the first round, won in one hour 36 minutes to reach a Masters 1000 final for the first time.

He became only the fourth player to win three or more matches against Nadal on clay, and the first Italian to reach the Monte Carlo final since Corrado Barazzutti in 1977.

ADVERTISEMENT

Playing his first tournament for a month after opting to rest his troublesome knees, Nadal added: ""I had a bad feeling; it was a tough day.

""I'm coming from low moments in terms of injuries, and in terms of the mental side it has not been easy to accept all the things that have been going on during recent weeks.

""Everything was wrong. I always expect the best. But you have to be ready to accept the negative things, and it was a negative day.""

Britain's Jamie Murray and Brazilian partner Bruno Soares lost 7-6 (7-4) 6-4 to Dutchmen Robin Haase and Wesley Koolhof in the doubles semi-finals."
http://www.tennis.com/pro-game/2019/04/novak-djokovic-daniil-medvedev-2019-monte-carlo-masters-upset/81050/,"“Watch out Medvedev,” Tennis Channel commentator Leif Shiras said, “Djokovic means business.”

The third set of Friday’s quarterfinal between Novak Djokovic and Daniil Medvedev had just begun, and the Serb had taken a 0-30 lead on the Russian’s serve. After bouncing back from a first-set loss to win the second set, Djokovic seemed to have put his early frustrations behind him. He had also found some semblance of rhythm against a player who, as he would say later, “doesn’t give you much rhythm.” Djokovic may not have been playing his best, but he wasn’t pulling the mental ripcord and giving in, either.

Which made what happened next all the more surprising, and, from Medvedev’s perspective, impressive. Medvedev hit a perfectly timed drop shot to even the score at 30-30, then used a series of strong first and second serves to hold. Three games later, Medvedev shrugged off the loss of a 41-shot rally and broke for 3-1. In truth, it was Djokovic who needed to watch out, because Medvedev, an up-and-coming player who was still searching for a signature win, who meant business.

The 23-year-old Medvedev has been around for a few years, but he says he has dedicated himself to the sport in a new way over the last two seasons. Maybe that’s why it still feels as if every time he plays, he reveals a new strength to his game.After watching him beat Stefanos Tsitsipas on Thursday, I came away impressed by Medvedev’s ability to disrupt his opponent’s game, to change paces, to make the other guy do things he doesn’t want to do. But after watching him beat Djokovic today, 6-3, 4-6, 6-2, I came away marveling at (a) Medvedev’s patience; he stuck in rallies long enough to force Djokovic to go to his bailout drop shot a lot; and (b) the way Medvedev can control and finish points with his backhand. The shot isn’t a thing of beauty; he almost looks like he’s shoveling the ball from corner to corner. But, as Djokovic said, Medvedev “doesn’t make many mistakes” with it, and he “hits it very low, with depth.” Even if Medvedev isn’t cracking a winner with his backhand, it’s difficult for his opponents to do anything with his rally shot from that side.

By the middle of the third set, it looked as if Djokovic had had enough of trying. With his consistency, his depth, his timely serving, his drop shots, and his surprising speed, Medvedev was essentially mirroring Djokovic’s game, and doing it every bit as well. Djokovic became visibly deflated down the stretch, and finished with 47 unforced errors on a frustratingly breezy afternoon.

“A windy day like today, conditions are changing every single game,” Djokovic said. “It’s kind of tough to find the rhythm. He improved his movement a lot since last year. He definitely deserves to be where he is.”"
http://www.espn.com/tennis/story/_/id/26552343/novak-djokovic-rafael-nadal-race-monte-carlo-quarterfinals,"Champion Rafael Nadal and top-ranked Novak Djokovic turned in impressive displays to reach the Monte Carlo Masters quarter-finals on Thursday.

EDITOR'S PICKS

Juan Martin del Potro is ready to return from injury once again

Despite injury-plagued year, Nadal remains King of Clay
Nadal, chasing a record-extending 12th Monte Carlo title, broke Grigor Dimitrov's serve on four occasions to defeat the Bulgarian 6-4 6-1.

After recovering from two break points down in his opening service game, Nadal attacked Dimitrov's backhand with power and precision to move into a 3-1 lead.

The 32-year-old Spaniard continued to extract errors from Dimitrov to claim the first set before racing to his 15th quarter-final on the Monte Carlo clay.

Nadal has now recorded 70 wins at the Monte Carlo Country Club. The only other tournament Nadal has achieved more victories is the French Open, where the 11-time winner holds an astonishing 86-2 match-win record.

Second seed Nadal was pleased to have negotiated two top 30 players -- Dimitrov and Roberto Bautista Agut -- and tricky playing conditions on Court Rainier III this week.

""The first two rounds I played more than well enough to win. I had two confident scores against two good players,"" Nadal said.

""The second set (there) were a little bit more mistakes and the wind was even (greater) later in the match. These things are part of the game and just try to be ready for it... You have to adapt. You have to find solutions.""

After struggling to rediscover his rhythm in his opener against Philipp Kohlschreiber, Djokovic looked in complete control as he swept past Taylor Fritz 6-3 6-0.

The 31-year-old Serb quickly adjusted the pace on his groundstrokes to claim three consecutive service breaks and take the opening set.

Fritz failed to offer any kind of resistance in the second set and was ultimately undone by his 28 unforced errors.

It moves Djokovic within three wins of matching Nadal's record haul of 33 ATP Masters 1000 titles and he will next face Russian Daniil Medvedev for a semi-final spot.

Medvedev defeated sixth seed Stefanos Tsitsipas 6-2 1-6 6-4, beating the Greek youngster for the fourth time in four matches.

""(Daniil) has improved his movement a lot, I think. Obviously his results are showing that he's close to the top 10 rankings,"" said Djokovic.

""He's definitely in the form of his life. He's had a good tournament so far here, winning quite comfortably in the first two matches and then now against Tsitsipas today.

""We have never faced each other on clay. We have faced each other in a close four-setter in Australia this year... I have seen him play. I have hit with him many times. I'm looking forward to it.""

Serb Dusan Lajovic pulled off the biggest upset of the day as he saved seven of the nine break points faced to knock out last year's French Open runner-up Dominic Thiem 6-3 6-3."
https://www.tennisworldusa.org/tennis/news/Tennis_Interviews/69354/tomas-berdych-and-wife-ester-satorova-not-planning-to-become-parents-soon/,"The 33-year-old Tomas Berdych and his 27-year-old wife Ester Satorova are not planning to become parents anytime soon. The tennis player cameback competing after a six-month break due to back surgery and he aims to get to the top again.

""We do not want to be in a rush, I am young and I can imagine I can have a family. However, there is still a lot of things going on in our careers that it would be unfair for a kid. It can be unbelievably busy, so we have not made a decision yet.

I travel with my partner and I support him. But I do my job too and it's not always easy to combine it. I handle tickets, hotel and all that is needed. You need to organize and plan the entire week"", said Satorova. She added: ""Tomas does not give me a reason to be jealous and vice-versa.


We trust each other in a perfect way. That's what our partnership is about. Tomas also has a great fashion sense!"" On their diet, she concluded: ""Jelena Djokovic, Novak's wife, suggested me it and from then we always did well. It's great for the wellbeing."""
https://www.cnn.com/2019/03/28/tennis/wimbledon-tennis-debenture-tickets-price-centre-court-spt-intl/index.html,"here are few tickets in sport more coveted than Wimbledon's Centre Court debenture offerings. But they don't come cheap.

On Thursday, 2,520 five-year passes went on sale, with each debenture costing £80,000 ($105,000).
The annual fortnight of grass-court tennis is one British sport's crown jewels and Wimbledon's debenture seating is like sporting gold dust, providing its owner unrivaled access at the sport's oldest grand slam tournament.
As well as granting admission to every Centre Court game between 2021 and 2025, the debenture also potentially offers a tidy investment opportunity. One such case in February saw a pass-holder buy a five-year debenture for $66,149, before selling the final two years of the premium ticket for $138,892 three years later.Some ticketholders sell their passes for certain days of the annual championship, while others have been known to resell the pass in its entirety for a bumper price.
""If you like tennis, a visit to Wimbledon is like mecca,"" said Claire-Estelle Bertrand, marketing and communications manager at Wimbledon Debenture Holders, one of a number of official debenture ticket resale agents. ""It's prestigious, it's rarefied class but most importantly its quintessentially British.
""They really are the most sought-after tickets in the world. Not only do they give you the best seats to see the world's best tennis, but they really do grant you access into an exclusive world where you can meet other global influencers and meet current and past tennis champions."
https://www.msn.com/en-us/sports/tennis/li-na-tennis-player-wants-the-movie-about-her-life-to-inspire-women/ar-BBW5ZFp,"Li Na may be one of China's most influential sports stars but at home she is just like most parents, regularly being brought back down to earth by one of her children.

The now 37-year-old Li has devoted most of her time to her family and her business career since chronic knee injuries forced Asia's first grand slam singles tennis champion into retirement five years ago.

Li and her former coach and husband Jiang Shan, whom she often refers to as 'Dennis,' are the parents of a three-year-old daughter, Alisa, and a two-year-old son, Sapajou.

""Last year, I played legends doubles at Wimbledon, and it was the first time they know, 'Oh, my mum is a tennis player',"" Li told CNN Sport in an exclusive interview in Beijing.

""Before, they didn't know that,"" said Li. ""Before, she went to kindergarten, and the teacher asked 'what does your mum do?' And she said 'My mum, no job.' So she came back home, and said 'Mum, why don't you have a job?' And I said 'My job is to take care of you.'"""
https://www.eurosport.com/tennis/monte-carlo-masters/2019/dusan-lajovic-reaches-maiden-masters-final-in-monte-carlo_sto7237211/story.shtml,"Serbian Dusan Lajovic reached his first Masters final when he mastered windy conditions to beat Russian Daniil Medvedev 7-5 6-1 in Monte Carlo on Saturday.
Lajovic, who will take on either 11-times champion Rafa Nadal of Spain or Italian Fabio Fognini, trailed 3-0 in the opening set before going through the gears.The 10th-seeded Medvedev could not hold the pace as whirlwinds swept across centre court at the Monte Carlo Country Club.

Lajovic quickly moved 4-0 up in the second set against a frustrated opponent, who bowed out on the second match point."
https://www.express.co.uk/sport/tennis/1116786/Fabio-Fognini-wife-Rafael-Nadal-Monte-Carlo-Masters-Flavia-Pennetta-Dusan-Lajovic,"That is according to tennis pundit Daniela Hantuchova, who reckons Fognini would have tried a trademark frowned-upon tactic against other opposition.

Nadal and Fognini meet in the semi-finals in Monaco this afternoon.

And the Italian is not shy of using an underarm serve against his opponents. Nadal is susceptible to the clever delivery because he stands so far beyond the baseline.But Fognini’s wife, former Australian Open winner Flavia Pennetta, will have warned her partner ahead of the showdown.

“I think just because Flavia, his wife, is around she will tell him before the match,” Hantuchova told Amazon Prime.

“She would have told him to give respect to Rafa because he deserves it.”

Fellow pundit Greg Rusedski is hoping to see the underarm serve performed during the clash"
https://wwos.nine.com.au/tennis/halep-faces-mladenovic-in-fed-cup-semis/73593171-0f8c-4d1a-b9ce-6d4f7846c6a4,"It's a job not quite half done for Ashleigh Barty, who will embrace the moment on a ""massive day"" for Australian tennis after Saturday's honours were split in their Fed Cup semi-final against Belarus in Brisbane.

Ipswich's world No.9 oozed class on Pat Rafter Arena as she got the better of doubles partner and former world No.1 Victoria Azarenka to level the tie 1-1 following Samantha Stosur's stoic three-set loss to Aryna Sabalenka.

Barty's 7-6 (7-2) 6-3 defeat of the two-time Australian Open champion showed off all the attributes that have shot the 22-year-old into the top 10, while team captain Alicia Molik thought Stosur played some of the best tennis of her 20-year career on home soil in a gallant 7-5 5-7 6-3 loss to the world No.10.

Barty will play Sabalenka in a crucial reverse singles rubber to open Sunday's action, while Stosur or Daria Gavrilova will play Azarenka in the second match.

If scores are tied, a doubles rubber will determine who hosts the Fed Cup final in November - a trophy that has alluded Australia for 45 years.


""It's massive for all of us ... it's pretty good so far but I want it to be better tomorrow,"" Molik said of the side's fighting effort in front of a rowdy home crowd.

""It'd be so amazing to be sitting here in a winning position tomorrow; that's the end goal for us.

""The position, it feels really familiar and I think we can get ourselves out of it."""
https://www.usatoday.com/story/sports/tennis/2019/04/20/lajovic-stages-comeback-to-reach-monte-carlo-final/39369945/,"MONACO (AP) — Fabio Fognini ended Rafael Nadal's winning streak at the Monte Carlo Masters, stunning the defending champion 6-4, 6-2 Saturday to reach the final for the first time and hand Nadal his first defeat here since a loss to Novak Djokovic in the 2015 semifinals.

Fognini had beaten Nadal twice before on clay, and also once at the U.S. Open in five sets, but this was arguably the most impressive.

""I have the game to play against him,"" the 13th-seeded Fognini said. ""I had nothing to lose.""

He wasn't concerned if Nadal was out of form.

""That's not the question that I have to answer,"" Fognini said. ""I just say that I played an incredible match.""

Still, the second-ranked Nadal called it ""one of my worst matches in 14 years"" and the 32-year-old Spaniard said it was ""difficult to find an explanation"" for capitulating on his favored clay-court surface.

Yet the defeat could have been even more humiliating for Nadal, who had not lost a set here by 6-0 since the 2005 final — which he went on to win for the first of his record 11 titles.

Fognini came so close to drubbing him in the second set. He served for the match at 5-0 and 40-0, but Nadal saved three match points, broke back and held."
